PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,31,36,5,6,8,1,4,0,366,,107,,96,19,,29.2349726775956,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,68,43,1,2,31,0,6,0,295,,33,,153,39,,11.1864406779661,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,40,38,7,15,9,1,10,0,248,,45,,122,35,,18.1451612903226,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,115,46,1,2,8,9,4,0,306,,56,,188,23,,18.3006535947712,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,115,31,1,21,5,0,3,0,247,,18,,177,29,,7.28744939271255,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,86,42,3,6,5,0,5,0,215,,9,,147,16,,4.18604651162791,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,146,58,2,2,5,1,20,0,322,,14,,234,28,,4.34782608695652,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,114,27,11,5,29,2,2,2,374,,23,,192,38,,6.14973262032086,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,105,46,6,9,25,0,6,0,318,,28,,197,40,,8.80503144654088,JANUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,116,33,3,13,7,2,16,0,280,,26,,190,38,,9.28571428571429,JANUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,15,13,8,11,13,6,5,0,146,,34,,71,35,,23.2876712328767,JANUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,113,54,9,114,8,17,11,0,552,,79,,326,150,,14.3115942028986,JANUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,27,28,2,25,8,5,1,0,162,,28,,97,39,,17.283950617284,JANUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,21,18,38,6,6,1,4,0,155,,9,,94,17,,5.80645161290323,JANUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,36,30,12,14,3,0,4,0,138,,13,,99,21,,9.42028985507247,JANUARI,
