PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,MAMUJU,TOMMO,2006,RANTEMARIO,581,0,30,63,51,62,62,40,32,39,40,57,42,28,12,10,5,8
SULAWESI BARAT,MAMUJU,TOMMO,2007,MALINO,269,0,8,29,38,18,27,20,17,15,19,22,18,17,8,5,5,3
SULAWESI BARAT,MAMUJU,TOMMO,2008,KAKULLASANG,1488,0,51,151,148,172,174,100,100,107,127,125,84,60,28,28,17,16
SULAWESI BARAT,MAMUJU,TOMMO,2009,LELING,343,4,9,31,38,30,34,23,29,35,23,21,22,12,11,10,7,4
SULAWESI BARAT,MAMUJU,TOMMO,2010,KALEPU,314,0,16,21,30,31,40,22,24,28,23,25,21,6,8,13,4,2
SULAWESI BARAT,MAMUJU,TOMMO,2011,SANDANA,334,0,14,41,40,38,28,22,22,26,38,28,20,11,3,3,0,0
SULAWESI BARAT,MAMUJU,TOMMO,2012,LELING BARAT,619,10,34,61,76,73,73,39,38,50,39,39,43,20,12,8,3,1
SULAWESI BARAT,MAMUJU,TOMMO,2013,LELING UTARA,527,0,21,57,76,74,47,33,29,39,52,44,30,13,8,1,1,2
SULAWESI BARAT,MAMUJU,TOMMO,2014,SALUDENGEN,578,0,17,59,65,67,66,49,44,58,41,27,21,20,19,10,12,3
SULAWESI BARAT,MAMUJU,SIMBORO,1001,SIMBORO,8054,235,569,957,831,679,634,582,763,761,717,468,401,191,123,69,38,36
SULAWESI BARAT,MAMUJU,SIMBORO,1002,RANGAS,2445,78,168,254,295,264,246,186,191,178,175,129,122,60,51,23,9,16
SULAWESI BARAT,MAMUJU,SIMBORO,2003,BOTTENG,846,0,53,96,72,96,98,73,73,73,53,43,52,23,19,5,8,9
SULAWESI BARAT,MAMUJU,SIMBORO,2004,SALETTO,1811,37,143,202,172,220,201,177,116,131,125,90,61,46,45,8,17,20
SULAWESI BARAT,MAMUJU,SIMBORO,2005,SUMARE,1317,13,93,143,125,152,123,116,104,102,91,62,77,29,32,25,13,17
SULAWESI BARAT,MAMUJU,SIMBORO,2007,BOTTENG UTARA,1261,36,90,137,146,152,139,103,96,64,82,55,59,34,22,9,9,28
SULAWESI BARAT,MAMUJU,SIMBORO,2008,TAPANDULLU,381,0,11,40,44,45,37,32,24,25,30,18,18,15,17,11,3,11
SULAWESI BARAT,MAMUJU,SIMBORO,2009,PATI'DI,753,5,34,77,83,112,69,52,75,54,60,41,37,10,15,12,7,10
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2001,DUNGKAIT,1031,42,79,123,121,128,92,80,63,71,67,55,42,20,14,12,6,16
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2002,LEBANI,781,0,43,90,110,118,87,66,43,41,45,47,34,25,12,9,4,7
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2003,LABUANG RANO,1551,61,104,169,163,232,170,106,93,109,81,74,69,35,31,23,14,17
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2004,PASABU,784,1,46,102,86,91,83,71,45,59,57,45,38,22,10,14,7,7
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2005,TANETE PAO,226,9,12,26,32,27,18,11,15,12,22,10,8,6,5,4,4,5
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2006,PANGASAAN,466,0,11,65,63,64,54,43,30,26,35,26,14,17,4,3,4,7
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2007,AHU,643,0,48,79,70,79,73,66,46,47,36,29,35,12,10,3,6,4
SULAWESI BARAT,MAMUJU,BONEHAU,2001,BONEHAU,598,4,26,52,53,58,54,49,32,30,48,56,37,32,32,19,9,7
SULAWESI BARAT,MAMUJU,BONEHAU,2002,SALUTIWO,414,0,18,43,33,46,32,44,31,31,37,23,20,18,17,7,9,5
SULAWESI BARAT,MAMUJU,BONEHAU,2003,BUTTUADA,586,0,27,49,56,59,71,43,42,39,53,40,46,24,15,14,4,4
SULAWESI BARAT,MAMUJU,BONEHAU,2004,TAMALEA,201,3,8,14,26,20,29,18,6,10,11,9,18,12,8,2,3,4
SULAWESI BARAT,MAMUJU,BONEHAU,2005,LUMIKA,408,4,20,33,31,63,46,35,23,25,39,29,27,14,11,2,2,4
SULAWESI BARAT,MAMUJU,BONEHAU,2006,MAPPU,318,0,12,24,25,34,34,32,22,15,22,21,29,16,10,9,7,6
SULAWESI BARAT,MAMUJU,BONEHAU,2009,BANUADA,293,0,9,23,29,32,38,36,16,24,24,21,12,17,4,1,3,4
SULAWESI BARAT,MAMUJU,BONEHAU,2010,HINUA,358,4,9,25,32,42,41,34,30,25,42,15,13,11,14,9,6,6
SULAWESI BARAT,MAMUJU,BONEHAU,2011,KINATANG,337,0,8,21,26,31,45,33,23,27,23,29,24,13,13,7,11,3
SULAWESI BARAT,MAMUJU,KEP.BALA-BALAKANG,2001,BALA BALAKANG,1145,0,36,104,121,172,113,96,77,97,93,64,75,43,26,7,9,12
SULAWESI BARAT,MAMUJU,KEP.BALA-BALAKANG,2002,BALA-BALAKANG TIMUR,400,3,17,30,58,53,34,43,41,23,28,16,21,13,10,6,3,1
SULAWESI BARAT,MAMASA,MAMBI,1001,MAMBI,758,11,28,79,68,84,92,65,52,53,50,47,54,29,17,14,6,9
SULAWESI BARAT,MAMASA,MAMBI,1002,TALIPUKKI,577,0,32,55,71,55,87,49,39,32,43,44,28,16,9,7,8,2
SULAWESI BARAT,MAMASA,MAMBI,2004,RANTEBULAHAN,285,0,13,30,22,33,37,28,18,21,15,20,18,12,6,2,5,5
SULAWESI BARAT,MAMASA,MAMBI,2008,SONDONGLAYU,257,0,17,33,25,23,35,18,21,13,14,17,15,8,7,3,2,6
SULAWESI BARAT,MAMASA,MAMBI,2016,SALUBANUA,152,3,9,24,17,22,14,12,10,12,10,8,4,3,2,1,0,1
SULAWESI BARAT,MAMASA,MAMBI,2017,TAPALINA,345,0,18,39,31,43,39,35,28,33,19,16,15,9,8,4,6,2
SULAWESI BARAT,MAMASA,MAMBI,2019,SENDANA,467,0,16,53,48,61,48,49,32,34,26,34,24,11,13,7,7,4
SULAWESI BARAT,MAMASA,MAMBI,2024,PAMOSEAN,197,0,5,27,21,26,31,18,12,20,11,7,4,6,6,1,1,1
SULAWESI BARAT,MAMASA,MAMBI,2025,SELUMAKA,485,2,19,57,53,64,69,36,24,38,34,29,31,7,12,5,2,3
SULAWESI BARAT,MAMASA,MAMBI,2026,BUJUNG MANURUNG,183,0,5,17,12,22,25,23,14,5,12,11,12,14,1,4,3,3
